id,age,gender,race,education,income,y
1,49,Female,White,Under College,"$75,000 or more",Internet
3,72,Male,White,Under College,"$20,000 to $74,999",Others
4,38,Female,White,Under College,"$20,000 to $74,999",Internet
5,55,Male,White,College and above,"$75,000 or more",Internet
6,67,Male,White,College and above,"$20,000 to $74,999",Internet
8,40,Female,Others,College and above,"$75,000 or more",Internet
9,86,Male,White,College and above,"$75,000 or more",Internet
11,40,Female,White,College and above,"$75,000 or more",Internet
12,73,Male,White,Under College,"$20,000 to $74,999",Others
14,52,Male,White,Under College,"$75,000 or more",Internet
15,59,Female,White,College and above,"$75,000 or more",Internet
16,64,Male,White,College and above,"$20,000 to $74,999",Internet
19,43,Male,White,College and above,"$75,000 or more",Internet
20,43,Male,White,Under College,"$20,000 to $74,999",Internet
21,72,Female,White,College and above,"$75,000 or more",Doctor
23,60,Male,White,College and above,"$75,000 or more",Internet
24,65,Female,White,College and above,"$20,000 to $74,999",Internet
27,80,Female,Others,College and above,"$20,000 to $74,999",Doctor
29,55,Male,White,Under College,"$0 to $19,999",Internet
30,59,Female,White,College and above,"$75,000 or more",Internet
34,48,Female,White,College and above,"$75,000 or more",Internet
35,73,Female,Others,College and above,"$20,000 to $74,999",Internet
36,70,Male,White,College and above,"$75,000 or more",Internet
37,53,Female,White,College and above,"$75,000 or more",Internet
38,67,Male,White,College and above,"$75,000 or more",Internet
40,75,Male,White,Under College,"$0 to $19,999",Doctor
41,65,Male,White,Under College,"$20,000 to $74,999",Others
42,35,Male,White,College and above,"$75,000 or more",Internet
44,60,Male,White,Under College,"$75,000 or more",Internet
45,53,Male,Others,College and above,"$75,000 or more",Internet
46,57,Male,White,College and above,"$75,000 or more",Doctor
49,42,Female,White,Under College,"$20,000 to $74,999",Internet
50,28,Female,White,Under College,"$20,000 to $74,999",Internet
51,64,Female,White,College and above,"$20,000 to $74,999",Doctor
53,89,Female,White,Under College,"$0 to $19,999",Doctor
54,37,Female,Others,College and above,"$75,000 or more",Internet
55,38,Female,White,College and above,"$20,000 to $74,999",Internet
58,33,Female,White,College and above,"$75,000 or more",Internet
